Module,Stage,Section,Semester 1 Credits,Semester 2 Credits,Exam
MAS3701 Foundations of Group Theory,3,Pure,10,0,Semester 1
MAS3702 Linear Analysis,3,Pure,10,0,Semester 1
MAS3707 Number Theory and Cryptography,3,Pure,0,20,Semester 2
MAS3708 Graphs and Symmetry,3,Pure,0,10,Semester 2
MAS3802 Quantum Mechanics,3,Applied,0,10,Semester 2
MAS3803 Advanced Fluid Dynamics,3,Applied,10,0,Semester 1
MAS3804 Relativity,3,Applied,10,0,Semester 1
MAS3810 Methods for Differential Equations & Partial Differential Equations & Non-Linear Waves ,3,Applied,20,0,Semester 1
MAS3902 Bayesian Inference,3,Statistics,0,10,Semester 2
MAS3904 Stochastic Financial Modelling,3,Statistics,10,0,Semester 1
MAS3905 Statistical Inference,3,Statistics,10,0,Semester 1
MAS3907 Big Data Analytics,3,Statistics,0,10,Semester 2
MAS3705 Matrix Analysis,3,Pure,10,0,Semester 1
MAS3706 Topology,3,Pure,0,10,Semester 2
MAS3709 Representation Theory,3,Pure,0,10,Semester 2
MAS3713 Curves and Surfaces,3,Pure,0,10,Semester 2
MAS3805 Classical Fields,3,Applied,0,10,Semester 2
MAS3808 Instabilities,3,Applied,10,0,Semester 1
MAS3809 Variational Methods and Lagrangian Dynamics,3,Applied,0,10,Semester 2
MAS3815 Mathematical Biology,3,Applied,0,10,Semester 2
MAS3910 Discrete Stochastic Modelling,3,Statistics,10,0,Semester 1
MAS3912 Survival Analysis,3,Statistics,0,10,Semester 2
MAS3913 Linear and Generalised Linear Models,3,Statistics,20,0,Semester 1
MAS8701 Foundations of Group Theory,4,Pure,10,0,Semester 1
MAS8702 Linear Analysis,4,Pure,10,0,Semester 1
MAS8707 Number Theory and Cryptography,4,Pure,0,20,Semester 2
MAS8708 Graphs and Symmetry,4,Pure,0,10,Semester 2
MAS8802 Quantum Mechanics,4,Applied,0,10,Semester 2
MAS8803 Advanced Fluid Dynamics,4,Applied,10,0,Semester 1
MAS8804 Relativity,4,Applied,10,0,Semester 1
MAS8810 Methods for Differential Equations & Partial Differential Equations & Non-Linear Waves ,4,Applied,20,0,Semester 1
MAS8902 Bayesian Inference,4,Statistics,0,10,Semester 2
MAS8904 Stochastic Financial Modelling,4,Statistics,10,0,Semester 1
MAS8905 Statistical Inference,4,Statistics,10,0,Semester 1
MAS8907 Big Data Analytics,4,Statistics,0,10,Semester 2
MAS8705 Matrix Analysis,4,Pure,10,0,Semester 1
MAS8706 Topology,4,Pure,0,10,Semester 2
MAS8709 Representation Theory,4,Pure,0,10,Semester 2
MAS8713 Curves and Surfaces,4,Pure,0,10,Semester 2
MAS8805 Classical Fields,4,Applied,0,10,Semester 2
MAS8808 Instabilities,4,Applied,10,0,Semester 1
MAS8809 Variational Methods and Lagrangian Dynamics,4,Applied,0,10,Semester 2
MAS8815 Mathematical Biology,4,Applied,0,10,Semester 2
MAS8910 Discrete Stochastic Modelling,4,Statistics,10,0,Semester 1
MAS8912 Survival Analysis,4,Statistics,0,10,Semester 2
MAS8913 Linear and Generalised Linear Models,4,Statistics,20,0,Semester 1
